Report Date,Reported For Date,Weight Range,Head Count,Average Weight,Price Range Low,Price Range High,Weighted Average Price
6/5/2019,6/4/2019,300-399,"1,186",372,36,57.5,48.28
6/5/2019,6/4/2019,400-449,"1,640",426,35,62.75,48.27
6/5/2019,6/4/2019,450-499,"1,814",474,40,63.5,54.7
6/5/2019,6/4/2019,500-549,"1,674",524,42.48,64.81,57.53
6/5/2019,6/4/2019,550/up,"1,055",584,55.06,64.5,59.01
6/4/2019,6/3/2019,300-399,809,372,40,59,47.92
6/4/2019,6/3/2019,400-449,"1,227",426,36,63.25,46.86
6/4/2019,6/3/2019,450-499,"1,344",475,40,64,54.39
6/4/2019,6/3/2019,500-549,"1,607",525,48,65,57.89
6/4/2019,6/3/2019,550/up,844,588,49,65,60.06
6/3/2019,5/31/2019,300-399,900,365,35,60.75,51.84
6/3/2019,5/31/2019,400-449,961,428,36,61.75,51.25
6/3/2019,5/31/2019,450-499,"1,809",475,43,65.36,57.19
6/3/2019,5/31/2019,500-549,"1,359",524,55.29,64.97,59.82
6/3/2019,5/31/2019,550/up,913,588,56.5,65.5,60.72
5/31/2019,5/30/2019,300-399,"1,335",368,34,60.5,50.73
5/31/2019,5/30/2019,400-449,"1,395",427,37,64.25,50.59
5/31/2019,5/30/2019,450-499,"1,783",475,38,65,56.88
5/31/2019,5/30/2019,500-549,"1,362",525,45.27,65.48,60.24
5/31/2019,5/30/2019,550/up,920,589,45.89,66.01,61.51
5/30/2019,5/29/2019,300-399,"1,013",374,39,61,51.87
5/30/2019,5/29/2019,400-449,"1,021",425,38,65.75,53.48
5/30/2019,5/29/2019,450-499,"2,200",476,44,66.5,58.76
5/30/2019,5/29/2019,500-549,"1,542",524,47,69.22,62.27
5/30/2019,5/29/2019,550/up,834,584,58,67.5,62.94
5/29/2019,5/28/2019,300-399,"1,136",369,41,60,53.68
5/29/2019,5/28/2019,400-449,"1,020",426,40,61,55.85
5/29/2019,5/28/2019,450-499,"1,428",473,48,63.11,59.38
5/29/2019,5/28/2019,500-549,"1,074",523,58.88,64.61,61.09
5/29/2019,5/28/2019,550/up,586,586,60,65.42,62.8
5/28/2019,5/27/2019,300-399,887,366,43.5,62,54.27
5/28/2019,5/27/2019,400-449,"1,079",426,42,62.75,54.14
5/28/2019,5/27/2019,450-499,"1,905",472,47,66.25,59.34
5/28/2019,5/27/2019,500-549,"1,814",523,59,69.5,63.7
5/28/2019,5/27/2019,550/up,996,588,60,68.25,64.46
5/28/2019,5/24/2019,300-399,887,366,43.5,62,54.27
5/28/2019,5/24/2019,400-449,"1,079",426,42,62.75,54.14
5/28/2019,5/24/2019,450-499,"1,905",472,47,66.25,59.34
5/28/2019,5/24/2019,500-549,"1,814",523,59,69.5,63.7
5/28/2019,5/24/2019,550/up,996,588,60,68.25,64.46
5/24/2019,5/23/2019,300-399,909,362,43,64,55.85
5/24/2019,5/23/2019,400-449,"1,107",423,45,67.75,55.66
5/24/2019,5/23/2019,450-499,"1,627",472,44,69.25,61.52
5/24/2019,5/23/2019,500-549,"1,624",522,51.3,70.75,63.54
5/24/2019,5/23/2019,550/up,675,587,61.93,69.5,65.42
5/23/2019,5/22/2019,300-399,661,370,38.5,64,55.63
5/23/2019,5/22/2019,400-449,"1,127",427,39.5,68.25,56.24
5/23/2019,5/22/2019,450-499,"1,638",475,45,69.03,61.26
5/23/2019,5/22/2019,500-549,"1,681",524,51.27,72.22,65.45
5/23/2019,5/22/2019,550/up,871,587,61,70,65.39
5/22/2019,5/21/2019,300-399,824,370,45,65,57.12
5/22/2019,5/21/2019,400-449,"1,079",427,44,68.75,58.09
